case_id;activity;timestamp;resource
I00001;Receive Invoice;2024-04-21 19:14:00;System
I00001;Register Invoice;2024-04-21 20:02:00;Clerk_B
I00001;Validate Invoice;2024-04-21 22:56:00;Clerk_B
I00001;Approve Invoice;2024-04-22 07:08:00;Manager_2
I00001;Enter into ERP;2024-04-22 09:00:00;DataEntry_3
I00001;Execute Payment;2024-04-27 06:00:00;Finance_B
I00001;Archive;2024-04-27 06:18:00;DMS_System
I00002;Receive Invoice;2024-04-30 11:06:00;System
I00002;Register Invoice;2024-04-30 11:35:00;Clerk_A
I00002;Validate Invoice;2024-04-30 12:51:00;Clerk_A
I00002;Compliance Check;2024-04-30 13:07:00;Finance_B
I00002;Approve Invoice;2024-04-30 22:37:00;Manager_2
I00002;Enter into ERP;2024-04-30 23:48:00;DataEntry_3
I00002;Execute Payment;2024-05-02 23:48:00;Finance_A
I00002;Archive;2024-05-03 00:16:00;DMS_System
I00003;Receive Invoice;2024-04-09 07:52:00;System
I00003;Register Invoice;2024-04-09 08:21:00;Clerk_D
I00003;Enter Invoice Data;2024-04-09 08:48:00;DataEntry_3
I00003;Validate Invoice;2024-04-09 11:32:00;Clerk_D
I00003;Compliance Check;2024-04-09 12:02:00;Finance_B
I00003;Approve Invoice;2024-04-09 17:29:00;Manager_1
I00003;Enter into ERP;2024-04-09 18:03:00;DataEntry_2
I00003;Execute Payment;2024-04-14 17:03:00;Finance_B
I00003;Archive;2024-04-14 17:28:00;DMS_System
I00004;Receive Invoice;2024-02-06 22:31:00;System
I00004;Register Invoice;2024-02-06 22:47:00;Clerk_C
I00004;Enter Invoice Data;2024-02-06 23:36:00;DataEntry_2
I00004;Validate Invoice;2024-02-07 03:36:00;Clerk_C
I00004;Approve Invoice;2024-02-07 12:39:00;Manager_2
I00004;Enter into ERP;2024-02-07 14:20:00;DataEntry_3
I00004;Execute Payment;2024-02-09 12:20:00;Finance_B
I00004;Archive;2024-02-09 12:32:00;DMS_System
I00005;Receive Invoice;2024-03-29 01:29:00;System
I00005;Register Invoice;2024-03-29 02:34:00;Clerk_C
I00005;Enter Invoice Data;2024-03-29 02:51:00;DataEntry_1
I00005;Validate Invoice;2024-03-29 05:59:00;Clerk_C
I00005;Approve Invoice;2024-03-29 10:08:00;Manager_1
I00005;Enter into ERP;2024-03-29 11:08:00;DataEntry_1
I00005;Execute Payment;2024-04-02 04:08:00;Finance_B
I00005;Archive;2024-04-02 04:38:00;DMS_System
I00006;Receive Invoice;2024-03-29 17:06:00;System
I00006;Register Invoice;2024-03-29 17:51:00;Clerk_C
I00006;Enter Invoice Data;2024-03-29 18:02:00;DataEntry_1
I00006;Validate Invoice;2024-03-29 20:10:00;Clerk_C
I00006;Compliance Check;2024-03-29 20:25:00;Finance_B
I00006;Approve Invoice;2024-03-29 21:30:00;Manager_1
I00006;Enter into ERP;2024-03-29 23:11:00;DataEntry_1
I00006;Execute Payment;2024-04-03 22:11:00;Finance_A
I00006;Archive;2024-04-03 22:25:00;DMS_System
I00007;Receive Invoice;2024-04-30 15:18:00;System
I00007;Register Invoice;2024-04-30 16:17:00;Clerk_C
I00007;Enter Invoice Data;2024-04-30 17:11:00;DataEntry_2
I00007;Validate Invoice;2024-04-30 18:37:00;Clerk_C
I00007;Approve Invoice;2024-04-30 22:30:00;Manager_1
I00007;Enter into ERP;2024-04-30 23:03:00;DataEntry_2
I00007;Execute Payment;2024-05-01 21:03:00;Finance_A
I00007;Archive;2024-05-01 21:11:00;DMS_System
I00008;Receive Invoice;2024-02-24 22:37:00;System
I00008;Register Invoice;2024-02-24 23:42:00;Clerk_B
I00008;Enter Invoice Data;2024-02-25 00:04:00;DataEntry_2
I00008;Validate Invoice;2024-02-25 03:03:00;Clerk_B
I00008;Compliance Check;2024-02-25 03:27:00;Finance_B
I00008;Enter into ERP;2024-02-25 08:44:00;DataEntry_2
I00008;Approve Invoice;2024-02-25 08:57:00;Manager_2
I00008;Enter into ERP;2024-02-25 10:50:00;DataEntry_3
I00008;Execute Payment;2024-02-26 22:50:00;Finance_A
I00008;Archive;2024-02-26 23:05:00;DMS_System
I00009;Receive Invoice;2024-03-27 12:11:00;System
I00009;Register Invoice;2024-03-27 13:07:00;Clerk_A
I00009;Enter Invoice Data;2024-03-27 13:40:00;DataEntry_2
I00009;Validate Invoice;2024-03-27 15:29:00;Clerk_A
I00009;Compliance Check;2024-03-27 15:56:00;Finance_B
I00009;Request Info;2024-03-27 16:14:00;Clerk_A
I00009;Receive Info;2024-03-29 01:14:00;Vendor
I00009;Validate Invoice;2024-03-29 02:00:00;Clerk_A
I00009;Approve Invoice;2024-03-29 13:45:00;Manager_1
I00009;Enter into ERP;2024-03-29 15:21:00;DataEntry_1
I00009;Execute Payment;2024-03-31 10:21:00;Finance_B
I00009;Archive;2024-03-31 10:33:00;DMS_System
I00010;Receive Invoice;2024-04-02 23:41:00;System
I00010;Register Invoice;2024-04-03 00:10:00;Clerk_A
I00010;Enter Invoice Data;2024-04-03 00:44:00;DataEntry_1
I00010;Validate Invoice;2024-04-03 04:13:00;Clerk_A
I00010;Compliance Check;2024-04-03 04:42:00;Finance_B
I00010;Approve Invoice;2024-04-03 13:12:00;Manager_1
I00010;Enter into ERP;2024-04-03 14:12:00;DataEntry_2
I00010;Execute Payment;2024-04-04 03:12:00;Finance_B
I00010;Archive;2024-04-04 03:34:00;DMS_System
